Date,gain,user_weight,user_weight_2
01-Jan-14,0.142857143,,79.919649
02-Jan-14,,,79.824525
03-Jan-14,,,79.733806
04-Jan-14,,,79.680023
05-Jan-14,,,79.608485
06-Jan-14,,,79.58
07-Jan-14,,,79.55
08-Jan-14,,,79.37
09-Jan-14,,,
10-Jan-14,,,
11-Jan-14,,,
12-Jan-14,,,
13-Jan-14,,,
14-Jan-14,,,
15-Jan-14,,,
16-Jan-14,,,
17-Jan-14,,,
18-Jan-14,,,
19-Jan-14,,,
20-Jan-14,,,
21-Jan-14,,,
22-Jan-14,,,
23-Jan-14,,,
24-Jan-14,,,
25-Jan-14,,,
26-Jan-14,,,
27-Jan-14,,,
28-Jan-14,,,
29-Jan-14,,,
30-Jan-14,,,
