Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,200gm,Keema Aalo,2,Paratha,746
2,2,Chapli kabab,2,Paratha ,830
3,2,Pakistani Omelette,2,Paratha,756
4,250gm,Murgh Cholay,2,Paratha,780
5,2,Chapli Kabab,2,Paratha ,830
6,200gm,Keema Alo,2,Paratha ,746
7,2,Pakistani Omelette,2,Paratha ,756
8,250gm,Murgh Cholay,2,Paratha,778
9,2,Chapli Kabab ,2,Paratha,830
10,200gm,Keema Aalo,2,Paratha,746
11,2,Pakistani Omelette,2,Paratha,756
12,250gm,Murgh Cholay,2,Paratha,778
13,2,Chapli kabab,2,Paratha ,830
14,200gm,Keema Aalo,2,Paratha,746
15,2,Pakistani Omelette,2,Paratha,756
16,250gm,Murgh Cholay,2,Paratha ,778
17,250gm,Murgh Cholay,2,Paratha,778
18,2,Chapli kabab,2,Paratha,830
19,200gm,Keema Aalo,2,Paratha,746
20,2,Pakistani Omelette,2,Paratha ,746
21,2,Chapli kabab,2,Paratha,830
22,250gm,Murgh Cholay,2,Paratha,778
23,2,Chapli kabab,2,Paratha ,830
24,250gm,Murgh Cholay,2,Paratha ,778
25,2,Pakistani Omelette,2,Paratha ,756
26,200gm,Keema Aalo,2,Paratha ,746
27,250gm,Murgh Cholay,2,Paratha,778
28,2,Chapli kabab,2,Paratha ,830
29,200gm,Keema Aalo,2,Paratha ,746
30,2,Pakistani Omelette,2,Paratha ,746
