Plan Name,,Breakfast,,,,,Snack#1,,,,,Lunch,,,,,Snack#2,,,,,Dinner,,,,,,,,,,,,,,,,,,
Diabetic Loss,Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories,Total Day Calories,Calories Burn,,,,,,,,,,,,
Diabetic-Loss.jpg,1,100gm,Keema Matar Aalo,1,4 Slices Whole Wheat Bread,300,1,Tea,1,Any Fresh Fruit,260,1,Beef Steak,100gm,Brown Rice and mixed vegetables,800,1,Hard Boiled Eggs,,,78,120gm,Chicken Karahi,1,Wheat Roti,426,,,,,,,,,,,,,,
,2,1,Chapli kabab,1,4 Slices Whole Wheat Bread,270,1,Tea,1,Any Fresh Fruit,260,150gm,Cooked chicken,200gm,Brown Rice and mixed vegetables,580,1,shami kabab,,,184,120gm,Beef nihari,1,Wheat Roti,456,1864,2484,,,,,,,,,,,,
,3,1,Pakistani Omelette,1,4 Slices Whole Wheat Bread,300,1,Tea,1,Any Fresh Fruit,260,200gm,Chicken/Beef Biryani,,,680,1,Hard Boiled Eggs,,,78,150gm,Daal Gosht,1,Wheat Roti,466,1750,2484,,,,,,,,,,,,
,4,150gm,Murgh Cholay,1,4 Slices Whole Wheat Bread,345,1,Tea,1,Any Fresh Fruit,260,1,Beef Steak,100gm,Brown Rice and mixed vegetables,800,1,shami kabab,,,184,200gm,Pan Fried Fish,1,Wheat Roti,480,1784,2484,,,,,,,,,,,,
,5,1,Chapli kabab,1,4 Slices Whole Wheat Bread,345,1,Tea,1,Any Fresh Fruit,260,1,Beef Steak,100gm,Brown Rice and mixed vegetables,800,1,Hard Boiled Eggs,,,78,130gm,Beef Qorma,1,Wheat Roti,449,2069,2484,,,,,,,,,,,,
,6,100gm,Keema Matar Aalo,1,4 Slices Whole Wheat Bread,270,1,Tea,1,Any Fresh Fruit,260,150gm,Cooked chicken,200gm,Brown Rice and mixed vegetables,922,1,Hard Boiled Eggs,,,78,150gm,Achar Gosh,1,Wheat Roti,570,1932,2484,,,,,,,,,,,,
,7,1,Pakistani Omelette,1,4 Slices Whole Wheat Bread,300,1,Tea,1,Any Fresh Fruit,260,1,Beef Steak,100gm,Brown Rice and mixed vegetables,800,1,shami kabab,,,184,100gm ,Pasanday,1,Wheat Roti,442,2100,2484,,,,,,,,,,,,
,8,150gm,Murgh Cholay,1,4 Slices Whole Wheat Bread,345,1,Tea,1,Any Fresh Fruit,260,200gm,Chicken/Beef Biryani,,,680,1,shami kabab,,,184,200gm,Koftay,1,Wheat Roti,520,1986,2484,,,,,,,,,,,,
,9,1,Chapli kabab,1,4 Slices Whole Wheat Bread,270,1,Tea,1,Any Fresh Fruit,260,1,Beef Steak,100gm,Brown Rice and mixed vegetables,800,1,Hard Boiled Eggs,,,78,150gm,Daal Gosht,1,Wheat Roti,466,1989,2500,,,,,,,,,,,,
,10,100gm,Keema Matar Aalo,1,4 Slices Whole Wheat Bread,300,1,Tea,1,Any Fresh Fruit,260,150gm,Cooked chicken,200gm,Brown Rice and mixed vegetables,922,1,Hard Boiled Eggs,,,78,120gm,Beef nihari,1,Wheat Roti,456,1874,2500,,,,,,,,,,,,
,11,1,Pakistani Omelette,1,4 Slices Whole Wheat Bread,300,1,Tea,1,Any Fresh Fruit,260,200gm,Chicken/Beef Biryani,,,680,1,shami kabab,,,184,120gm,Chicken Karahi,1,Wheat Roti,426,2016,2500,,,,,,,,,,,,
,12,150gm,Murgh Cholay,1,4 Slices Whole Wheat Bread,345,1,Tea,1,Any Fresh Fruit,260,150gm,Cooked chicken,200gm,Brown Rice and mixed vegetables,922,1,Hard Boiled Eggs,,,78,130gm,Beef Qorma,1,Wheat Roti,449,1850,2500,,,,,,,,,,,,
,13,1,Chapli kabab,1,4 Slices Whole Wheat Bread,270,1,Tea,1,Any Fresh Fruit,260,1,Beef Steak,100gm,Brown Rice and mixed vegetables,800,1,shami kabab,,,184,150gm,Achar Gosh,1,Wheat Roti,570,2054,2500,,,,,,,,,,,,
,14,100gm,Keema Matar Aalo,1,4 Slices Whole Wheat Bread,300,1,Tea,1,Any Fresh Fruit,260,150gm,Cooked chicken,200gm,Brown Rice and mixed vegetables,922,1,Hard Boiled Eggs,,,78,200gm,Pan Fried Fish,1,Wheat Roti,480,2084,2500,,,,,,,,,,,,
,15,1,Pakistani Omelette,1,4 Slices Whole Wheat Bread,300,1,Tea,1,Any Fresh Fruit,260,200gm,Chicken/Beef Biryani,,,680,1,shami kabab,,,184,150gm,Daal Gosht,1,Wheat Roti,466,2040,2500,,,,,,,,,,,,
,16,150gm,Murgh Cholay,1,4 Slices Whole Wheat Bread,345,1,Tea,1,Any Fresh Fruit,260,1,Beef Steak,100gm,Brown Rice and mixed vegetables,800,1,shami kabab,,,184,200gm,Koftay,1,Wheat Roti,520,1890,2500,,,,,,,,,,,,
,17,150gm,Murgh Cholay,1,4 Slices Whole Wheat Bread,345,1,Tea,1,Any Fresh Fruit,260,150gm,Cooked chicken,200gm,Brown Rice and mixed vegetables,922,1,Hard Boiled Eggs,,,78,150gm,Daal Gosht,1,Wheat Roti,466,2109,2500,,,,,,,,,,,,
,18,1,Chapli kabab,1,4 Slices Whole Wheat Bread,270,1,Tea,1,Any Fresh Fruit,260,1,Beef Steak,100gm,Brown Rice and mixed vegetables,800,1,shami kabab,,,184,1,Chicken Tikka Leg Piece,1,Wheat Roti,502,2071,2500,,,,,,,,,,,,
,19,100gm,Keema Matar Aalo,1,4 Slices Whole Wheat Bread,300,1,Tea,1,Any Fresh Fruit,260,200gm,Chicken/Beef Biryani,,,680,1,Hard Boiled Eggs,,,78,100gm ,Pasanday,1,Wheat Roti,442,2016,2526,,,,,,,,,,,,
,20,1,Pakistani Omelette,1,4 Slices Whole Wheat Bread,300,1,Tea,1,Any Fresh Fruit,260,150gm,Cooked chicken,200gm,Brown Rice and mixed vegetables,922,1,shami kabab,,,184,200gm,Pan Fried Fish,1,Wheat Roti,480,1760,2526,,,,,,,,,,,,
,21,1,Chapli kabab,1,4 Slices Whole Wheat Bread,345,1,Tea,1,Any Fresh Fruit,260,1,Beef Steak,100gm,Brown Rice and mixed vegetables,800,1,Hard Boiled Eggs,,,78,200gm,Koftay,1,Wheat Roti,520,2146,2526,,,,,,,,,,,,
,22,150gm,Murgh Cholay,1,4 Slices Whole Wheat Bread,345,1,Tea,1,Any Fresh Fruit,260,1,Beef Steak,100gm,Brown Rice and mixed vegetables,800,1,shami kabab,,,184,130gm,Beef Qorma,1,Wheat Roti,449,2003,2526,,,,,,,,,,,,
,23,1,Chapli kabab,1,4 Slices Whole Wheat Bread,270,1,Tea,1,Any Fresh Fruit,260,150gm,Cooked chicken,200gm,Brown Rice and mixed vegetables,922,1,shami kabab,,,184,120gm,Beef nihari,1,Wheat Roti,456,2038,2526,,,,,,,,,,,,
,24,150gm,Murgh Cholay,1,4 Slices Whole Wheat Bread,345,1,Tea,1,Any Fresh Fruit,260,200gm,Chicken/Beef Biryani,,,680,1,Hard Boiled Eggs,,,78,120gm,Chicken Karahi,1,Wheat Roti,426,2092,2526,,,,,,,,,,,,
,25,1,Pakistani Omelette,1,4 Slices Whole Wheat Bread,300,1,Tea,1,Any Fresh Fruit,260,1,Beef Steak,100gm,Brown Rice and mixed vegetables,800,1,shami kabab,,,184,150gm,Daal Gosht,1,Wheat Roti,466,1789,2526,,,,,,,,,,,,
,26,100gm,Keema Matar Aalo,1,4 Slices Whole Wheat Bread,345,1,Tea,1,Any Fresh Fruit,260,150gm,Cooked chicken,200gm,Brown Rice and mixed vegetables,922,1,Hard Boiled Eggs,,,78,100gm ,Pasanday,1,Wheat Roti,442,2010,2526,,,,,,,,,,,,
,27,150gm,Murgh Cholay,1,4 Slices Whole Wheat Bread,345,1,Tea,1,Any Fresh Fruit,260,150gm,Cooked chicken,200gm,Brown Rice and mixed vegetables,922,1,shami kabab,,,184,150gm,Achar Gosh,1,Wheat Roti,570,2047,2526,,,,,,,,,,,,
,28,1,Chapli kabab,1,4 Slices Whole Wheat Bread,270,1,Tea,1,Any Fresh Fruit,260,200gm,Chicken/Beef Biryani,,,680,1,Hard Boiled Eggs,,,78,120gm,Chicken Karahi,1,Wheat Roti,426,2281,2526,,,,,,,,,,,,
,29,100gm,Keema Matar Aalo,1,4 Slices Whole Wheat Bread,300,1,Tea,1,Any Fresh Fruit,260,150gm,Cooked chicken,200gm,Brown Rice and mixed vegetables,922,1,Hard Boiled Eggs,,,78,150gm,Daal Gosht,1,Wheat Roti,466,1714,2526,,,,,,,,,,,,
,30,1,Pakistani Omelette,1,4 Slices Whole Wheat Bread,300,1,Tea,1,Any Fresh Fruit,260,1,Beef Steak,100gm,Brown Rice and mixed vegetables,800,1,shami kabab,,,184,120gm,Beef nihari,1,Wheat Roti,456,2026,2526,,,,,,,,,,,,
,Total,,,,Total Breakfast,,,,,,,,,,,Total Lunch,,,,,,,,,,Total Dinner,2000,2546,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,59384,75246,,,,,,,,,,,,
